,0,1,2,3,4,5,6,7,8,9,10
0,https://www.goodreads.com//book/show/40605251-the-mists-of-avalon,A Game of Thrones,George R.R. Martin,"55,493 reviews",4.44,835,2005,The Lands of Ice and Fire,A Song of Ice and Fire #1,"Nebula Award Nominee for Best Novel (1997), Locus Award for Best Fantasy Novel (1997), World Fantasy Award Nominee for Best Novel (1997), Premio Ignotus for Novela extranjera (2003)","['Fantasy', 'Fiction', 'Fantasy']"
1,https://www.goodreads.com//book/show/21787.The_Princess_Bride,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"1,836 reviews",4.60,1728,2012,Middle-earth,"The Lord of the Rings #0-3, Middle-earth Universe",,"['Fantasy', 'Fiction', 'Classics']"
2,https://www.goodreads.com//book/show/13812.Magician,The Name of the Wind,Patrick Rothfuss,"43,979 reviews",4.52,662,2007,Middle-earth,The Kingkiller Chronicle #1,"Locus Award Nominee for Best First Novel and Best Fantasy Novel (2008), Compton Crook Award Nominee (2008), Grand Prix de l'Imaginaire Nominee for Roman étranger and Traduction (2010), ALA Alex Award (2008), The Quill Award for Science Fiction/Fantasy/Horror (2007) ...more","['Fantasy', 'Fiction', 'Fantasy']"
3,https://www.goodreads.com//book/show/40605251-the-mists-of-avalon,The Way of Kings,Brandon Sanderson,"22,141 reviews",4.61,1007,2010,Roshar,"The Stormlight Archive #1, The Cosmere","Locus Award Nominee for Best Fantasy Novel (2011), David Gemmell Legend Award for Best Fantasy Novel (2011), Whitney Award for Best Novel (2010), Goodreads Choice Award Nominee for Fantasy and for Favorite Book and for Goodreads Author (2010)","['Fantasy', 'Fiction', 'Fantasy']"
4,https://www.goodreads.com//book/show/21787.The_Princess_Bride,The Chronicles of Narnia,C.S. Lewis,"10,666 reviews",4.26,767,2002,"London, England (United Kingdom)","The Chronicles of Narnia (Publication Order) #1–7, The Chronicles of Narnia (Chronological Order) #1–7",,"['Fantasy', 'Classics', 'Fiction']"
5,https://www.goodreads.com//book/show/6122735-the-night-angel-trilogy,The Eye of the World,Robert Jordan,"13,669 reviews",4.17,814,1990,Emond's Field,The Wheel of Time #1,Locus Award Nominee for Best Fantasy Book (1991),"['Fantasy', 'Fiction', 'Fantasy']"
6,https://www.goodreads.com//book/show/40605251-the-mists-of-avalon,Mistborn: The Final Empire,Brandon Sanderson,"30,637 reviews",4.44,541,2006,Luthadel,"The Mistborn Saga #1, The Cosmere","Tähtifantasia Award Nominee (2018), Prix Elbakin.net for Meilleur roman fantasy traduit (2010)","['Fantasy', 'Fiction', 'Fantasy']"
7,https://www.goodreads.com//book/show/40605251-the-mists-of-avalon,His Dark Materials,Philip Pullman,"5,320 reviews",4.25,1088,2003,"Oxford, England",His Dark Materials #1-3,Literaturpreis der Jury der jungen Leser for Kinderbuch (2002),"['Fantasy', 'Young Adult', 'Fiction']"
8,https://www.goodreads.com//book/show/40605251-the-mists-of-avalon,Eragon,Christopher Paolini,"22,880 reviews",3.91,503,2005,Alagaësia,The Inheritance Cycle #1,"Book Sense Book of the Year Award for Children's Literature (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2007), South Carolina Book Award for Young Adult Book (2006), Grand Canyon Reader Award for Teen Book (2006), Nene Award (2006) ...more","['Fantasy', 'Young Adult', 'Fiction']"
9,https://www.goodreads.com//book/show/61942.The_Dragonriders_of_Pern,Assassin's Apprentice,Robin Hobb,"10,738 reviews",4.15,435,1996,Buckkeep,"The Farseer Trilogy #1, L'Assassin royal #1, The Realm of the Elderlings #1, A Saga do Assassino #1 , more","Locus Award Nominee for Fantasy (1996), British Fantasy Award Nominee for Best Novel (1997), Compton Crook Award (1996)) Nominee (1996)","['Fantasy', 'Fiction', 'Fantasy']"
10,https://www.goodreads.com//book/show/40605251-the-mists-of-avalon,The Lies of Locke Lamora,Scott Lynch,"15,648 reviews",4.26,752,2006,Camorr,Gentleman Bastard #1,"Locus Award Nominee for Best Fantasy Novel and Best First Novel (2007), World Fantasy Award Nominee for Best Novel (2007), Compton Crook Award Nominee (2007), Grand Prix de l'Imaginaire Nominee for Roman étranger (2008), Tähtifantasia Award Nominee (2008) ...more","['Fantasy', 'Fiction', 'Adventure']"
