,url
0,https://www.goodreads.com//book/show/13496.A_Game_of_Thrones
1,https://www.goodreads.com//book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
2,https://www.goodreads.com//book/show/186074.The_Name_of_the_Wind
3,https://www.goodreads.com//book/show/7235533-the-way-of-kings
4,https://www.goodreads.com//book/show/11127.The_Chronicles_of_Narnia
5,https://www.goodreads.com//book/show/228665.The_Eye_of_the_World
6,https://www.goodreads.com//book/show/68428.Mistborn
7,https://www.goodreads.com//book/show/18116.His_Dark_Materials
8,https://www.goodreads.com//book/show/113436.Eragon
9,https://www.goodreads.com//book/show/77197.Assassin_s_Apprentice
10,https://www.goodreads.com//book/show/29588376-the-lies-of-locke-lamora
11,https://www.goodreads.com//book/show/43615.The_Gunslinger
12,https://www.goodreads.com//book/show/43889.Wizard_s_First_Rule
13,https://www.goodreads.com//book/show/944073.The_Blade_Itself
14,https://www.goodreads.com//book/show/7332.The_Silmarillion
15,https://www.goodreads.com//book/show/55399.Gardens_of_the_Moon
16,https://www.goodreads.com//book/show/21787.The_Princess_Bride
17,https://www.goodreads.com//book/show/44660.The_Belgariad_Boxed_Set
18,https://www.goodreads.com//book/show/13642.A_Wizard_of_Earthsea
19,https://www.goodreads.com//book/show/13812.Magician
20,https://www.goodreads.com//book/show/40605251-the-mists-of-avalon
21,https://www.goodreads.com//book/show/518848.Sabriel
22,https://www.goodreads.com//book/show/6122735-the-night-angel-trilogy
23,https://www.goodreads.com//book/show/9579634-prince-of-thorns
24,https://www.goodreads.com//book/show/61942.The_Dragonriders_of_Pern
25,https://www.goodreads.com//book/show/3428935-the-warded-man
26,https://www.goodreads.com//book/show/3236307-graceling
27,https://www.goodreads.com//book/show/12067.Good_Omens
28,https://www.goodreads.com//book/show/34497.The_Color_of_Magic
29,https://www.goodreads.com//book/show/153008.Kushiel_s_Dart
30,https://www.goodreads.com//book/show/17332218-words-of-radiance
31,https://www.goodreads.com//book/show/7996.Redwall
32,https://www.goodreads.com//book/show/68380.Dragonlance_Chronicles
33,https://www.goodreads.com//book/show/29396.Furies_of_Calderon
34,https://www.goodreads.com//book/show/13569581-blood-song
35,https://www.goodreads.com//book/show/68418.The_Dark_Elf_Trilogy_Collector_s_Edition
36,https://www.goodreads.com//book/show/1170158.The_Earthsea_Trilogy
37,https://www.goodreads.com//book/show/91981.The_Dragonbone_Chair
38,https://www.goodreads.com//book/show/7165300-the-black-prism
39,https://www.goodreads.com//book/show/68488.Fool_s_Errand
40,https://www.goodreads.com//book/show/478894.The_Sword_of_Shannara_Trilogy
41,https://www.goodreads.com//book/show/27712.The_Neverending_Story
42,https://www.goodreads.com//book/show/10790290-theft-of-swords
43,https://www.goodreads.com//book/show/13831.Alanna
44,https://www.goodreads.com//book/show/5367.The_Great_Book_of_Amber
45,https://www.goodreads.com//book/show/104089.Tigana
46,https://www.goodreads.com//book/show/43545.The_Once_and_Future_King
47,https://www.goodreads.com//book/show/1268479.Warbreaker
48,https://www.goodreads.com//book/show/45100.Ship_of_Magic
49,https://www.goodreads.com//book/show/28876.His_Majesty_s_Dragon
50,https://www.goodreads.com//book/show/179033.The_Chronicles_of_Thomas_Covenant_the_Unbeliever
51,https://www.goodreads.com//book/show/6294.Howl_s_Moving_Castle
52,https://www.goodreads.com//book/show/463063.The_Chronicles_of_Prydain
53,https://www.goodreads.com//book/show/140671.The_Black_Company
54,https://www.goodreads.com//book/show/210329.The_Dark_Is_Rising
55,https://www.goodreads.com//book/show/47953.The_Black_Jewels_Trilogy
56,https://www.goodreads.com//book/show/407813.The_Blue_Sword
57,https://www.goodreads.com//book/show/597790.The_Children_of_H_rin
58,https://www.goodreads.com//book/show/28249.The_Magicians_Guild
59,https://www.goodreads.com//book/show/82192.The_Crystal_Cave
60,https://www.goodreads.com//book/show/334123.The_Amulet_of_Samarkand
61,https://www.goodreads.com//book/show/1381.The_Odyssey
62,https://www.goodreads.com//book/show/13928.Daughter_of_the_Forest
63,https://www.goodreads.com//book/show/1148721.The_Fionavar_Tapestry
64,https://www.goodreads.com//book/show/10611.The_Eyes_of_the_Dragon
65,https://www.goodreads.com//book/show/30036.Elric_of_Melnibon_
66,https://www.goodreads.com//book/show/7896527-throne-of-glass
67,https://www.goodreads.com//book/show/60400.The_Ruins_of_Gorlan
68,https://www.goodreads.com//book/show/77366.The_Hero_and_the_Crown
69,https://www.goodreads.com//book/show/62485.The_Icewind_Dale_Trilogy_Collector_s_Edition
70,https://www.goodreads.com//book/show/96281.The_Deed_of_Paksenarrion
71,https://www.goodreads.com//book/show/40603587-the-last-wish
72,https://www.goodreads.com//book/show/62291.A_Storm_of_Swords
73,https://www.goodreads.com//book/show/68427.Elantris
74,https://www.goodreads.com//book/show/12891107-king-of-thorns
75,https://www.goodreads.com//book/show/61886.The_Curse_of_Chalion
76,https://www.goodreads.com//book/show/76658.On_a_Pale_Horse
77,https://www.goodreads.com//book/show/589979.Daughter_of_the_Empire
78,https://www.goodreads.com//book/show/29127.The_Last_Unicorn
79,https://www.goodreads.com//book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
80,https://www.goodreads.com//book/show/77160.Across_the_Nightingale_Floor
81,https://www.goodreads.com//book/show/4345290-the-crown-conspiracy
82,https://www.goodreads.com//book/show/28481.Dragon_Wing
83,https://www.goodreads.com//book/show/2315892.Best_Served_Cold
84,https://www.goodreads.com//book/show/13836.Wild_Magic
85,https://www.goodreads.com//book/show/261604.Rhapsody
86,https://www.goodreads.com//book/show/147843.Green_Rider
87,https://www.goodreads.com//book/show/616678.The_Diamond_Throne
88,https://www.goodreads.com//book/show/13986.Arrows_of_the_Queen
89,https://www.goodreads.com//book/show/2767793-the-hero-of-ages
90,https://www.goodreads.com//book/show/19821.Riddle_Master
91,https://www.goodreads.com//book/show/28759.Magic_s_Pawn
92,https://www.goodreads.com//book/show/133454.Jhereg
93,https://www.goodreads.com//book/show/3227063-the-way-of-shadows
94,https://www.goodreads.com//book/show/104101.The_Lions_of_Al_Rassan
95,https://www.goodreads.com//book/show/185253.The_Magic_of_Recluce
96,https://www.goodreads.com//book/show/39058.The_Gormenghast_Novels
97,https://www.goodreads.com//book/show/185289.Dragon_Prince
98,https://www.goodreads.com//book/show/40290.Seventh_Son
99,https://www.goodreads.com//book/show/1371.The_Iliad
100,https://www.goodreads.com//book/show/233649.The_Great_Hunt
101,https://www.goodreads.com//book/show/68429.The_Well_of_Ascension
102,https://www.goodreads.com//book/show/91964.The_Briar_King
103,https://www.goodreads.com//book/show/10762697-the-farseer-trilogy
