iter	RMSE
0	77887.04109
1	75942.03933
2	73984.31488
3	72279.16625
4	70496.90662
5	68883.20378
6	67188.51768
7	65637.66553
8	64151.0985
9	62766.82558
10	61471.47702
11	60102.77957
12	58752.0342
13	57433.92947
14	56255.2924
15	55114.30182
16	54103.39702
17	53002.57603
18	52014.80165
19	50990.07906
20	49993.60569
21	49126.07516
22	48103.90654
23	47311.05545
24	46503.094
25	45748.62714
26	44989.14474
27	44195.26044
28	43514.77913
29	42850.13484
30	42185.79757
31	41510.49685
32	40955.76575
33	40408.66117
34	39850.41173
35	39305.27816
36	38809.19149
37	38237.07189
38	37640.10119
39	37121.46436
40	36658.24628
41	36200.69548
42	35664.79908
43	35164.26625
44	34648.81585
45	34241.85005
46	33830.95612
47	33450.41296
48	33101.38407
49	32691.58745
50	32311.17175
51	31971.26315
52	31699.39679
53	31398.87709
54	31068.54381
55	30693.27367
56	30331.15687
57	30090.13145
58	29864.704
59	29559.87011
60	29327.53572
61	29066.0897
62	28822.43024
63	28560.21521
64	28332.06392
65	28101.13641
66	27857.98412
67	27622.99316
68	27434.31688
69	27231.33084
70	26998.06886
71	26832.4649
72	26652.64512
73	26418.74938
74	26268.35033
75	26100.7656
76	25916.79181
77	25769.4606
78	25580.80086
79	25449.22851
80	25268.91974
81	25132.82527
82	25036.53591
83	24915.04222
84	24744.91553
85	24597.22832
86	24424.91512
87	24329.10299
88	24220.87397
89	24094.64196
90	23965.14289
91	23847.00177
92	23730.86471
93	23612.47708
94	23435.30538
95	23318.41825
96	23192.70636
97	23063.44016
98	22986.18445
99	22874.56606
100	22762.75416
101	22631.18759
102	22526.19386
103	22425.3313
104	22352.35862
105	22230.34573
106	22132.26017
107	22011.68695
108	21898.4258
109	21821.87793
110	21674.61658
111	21559.6183
112	21458.5722
113	21338.11073
114	21267.21129
115	21185.30583
116	21097.91537
117	21037.55127
118	20965.44672
119	20899.80055
120	20804.70406
121	20727.12311
122	20637.70562
123	20565.1243
124	20518.21206
125	20442.91688
126	20366.33656
127	20299.15218
128	20212.22992
129	20155.45103
130	20089.23338
131	19962.17356
132	19896.56163
133	19833.79531
134	19761.18084
135	19698.1059
136	19650.38893
137	19575.0309
138	19517.14135
139	19461.55005
140	19390.62822
141	19351.54821
142	19298.31969
143	19230.21737
144	19180.66613
145	19122.1313
146	19089.93737
147	18996.69965
148	18936.49147
149	18888.37681
150	18813.15615
151	18758.51233
152	18720.39245
153	18675.87499
154	18625.26677
155	18567.65734
156	18527.62685
157	18451.43671
158	18401.3498
159	18318.13858
160	18279.22331
161	18216.14524
162	18163.75007
163	18145.65865
164	18078.87924
165	18034.6307
166	17986.512
167	17935.93908
168	17899.03938
169	17852.68671
170	17825.79755
171	17800.50666
172	17766.89678
173	17724.3024
174	17649.29485
175	17608.09513
176	17571.99902
177	17540.38657
178	17504.36251
179	17459.5865
180	17426.74659
181	17368.21241
182	17306.57315
183	17275.13806
184	17221.17162
185	17159.61176
186	17134.87618
187	17094.05412
188	17050.63022
189	17017.77257
190	16973.30818
191	16921.43819
192	16872.72107
193	16840.26901
194	16802.80763
195	16764.48511
196	16697.7114
197	16664.08323
198	16629.55007
199	16594.47259
200	16570.9475
201	16538.19306
202	16509.14595
203	16492.1141
204	16445.914
205	16406.35714
206	16370.70552
207	16350.93466
208	16330.61506
209	16287.40012
210	16245.21765
211	16226.33533
212	16213.56534
213	16193.80527
214	16167.75892
215	16146.42744
216	16111.58776
217	16083.69038
218	16022.53238
219	15997.94657
220	15953.37614
221	15934.25859
222	15916.63346
223	15880.57309
224	15832.41662
225	15804.8216
226	15778.5533
227	15761.42994
228	15722.49737
229	15684.50452
230	15642.68137
231	15596.57872
232	15575.94729
233	15556.31269
234	15503.04445
235	15465.58886
236	15425.7047
237	15409.24526
238	15389.26021
239	15343.82116
240	15316.50283
241	15277.54932
242	15257.5049
243	15197.98328
244	15162.77055
245	15128.3745
246	15096.00657
247	15079.58158
248	15071.96017
249	15055.73576
250	15040.78169
251	15018.80305
252	14974.02021
253	14938.02155
254	14896.5481
255	14872.35287
256	14831.54063
257	14794.26737
258	14776.87655
259	14754.8323
260	14718.48221
261	14694.7111
262	14682.19475
263	14642.27899
264	14622.3845
265	14588.21708
266	14537.61667
267	14495.19914
268	14464.06622
269	14437.25599
270	14414.54543
271	14385.38987
272	14362.93297
273	14331.36935
274	14321.49068
275	14299.91879
276	14290.28956
277	14268.77772
278	14257.69118
279	14233.96546
280	14203.40062
281	14179.61896
282	14129.04618
283	14088.24159
284	14072.54453
285	14058.0471
286	14003.3799
287	13970.52966
288	13932.90377
289	13904.90019
290	13876.98177
291	13849.46133
292	13820.15969
293	13814.40566
294	13805.95056
295	13769.7153
296	13739.99986
297	13722.83282
298	13678.34965
299	13658.24155
300	13650.34113
301	13643.98346
302	13618.58376
303	13588.68638
304	13540.04691
305	13519.02825
306	13490.21112
307	13461.30929
308	13444.3491
309	13418.52072
310	13410.05736
311	13402.63561
312	13371.74771
313	13341.74824
314	13318.77708
315	13294.08274
316	13269.95309
317	13230.64335
318	13213.28084
319	13183.05391
320	13158.61337
321	13129.96202
322	13100.90773
323	13071.38273
324	13055.18216
325	13028.69213
326	13011.50738
327	12986.4913
328	12967.74571
329	12963.34266
330	12939.04421
