iter	Passed	Remaining
0	160	160024
1	167	83703
2	172	57230
3	178	44558
4	184	36708
5	189	31437
6	193	27499
7	199	24735
8	205	22641
9	209	20780
10	216	19446
11	221	18271
12	226	17184
13	231	16269
14	235	15496
15	240	14763
16	245	14190
17	249	13630
18	254	13132
19	259	12724
20	264	12347
21	269	11963
22	276	11726
23	281	11462
24	286	11168
25	291	10924
26	296	10667
27	300	10423
28	305	10231
29	309	10023
30	315	9853
31	320	9684
32	324	9517
33	329	9374
34	336	9278
35	348	9343
36	356	9267
37	362	9188
38	369	9092
39	373	8957
40	378	8849
41	383	8743
42	387	8632
43	393	8540
44	399	8475
45	403	8374
46	409	8302
47	414	8230
48	419	8133
49	424	8059
50	429	7986
51	433	7895
52	438	7833
53	442	7754
54	454	7809
55	461	7772
56	468	7754
57	472	7681
58	478	7625
59	482	7557
60	487	7501
61	492	7445
62	496	7382
63	501	7334
64	506	7291
65	511	7239
66	516	7197
67	523	7178
68	528	7125
69	535	7116
70	540	7076
71	546	7038
72	550	6989
73	557	6971
74	562	6934
75	566	6890
76	572	6861
77	578	6833
78	585	6821
79	590	6788
80	596	6766
81	601	6731
82	606	6705
83	611	6667
84	616	6641
85	621	6602
86	627	6580
87	631	6548
88	638	6531
89	646	6540
90	655	6544
91	667	6589
92	675	6590
93	686	6615
94	695	6626
95	703	6628
96	717	6675
97	733	6754
98	745	6787
99	753	6785
100	766	6820
101	773	6814
102	780	6793
103	785	6768
104	796	6790
105	802	6765
106	808	6751
107	813	6722
108	818	6691
109	825	6681
110	832	6665
111	836	6634
112	843	6621
113	848	6592
114	852	6561
115	859	6551
116	864	6524
117	872	6520
118	877	6493
119	882	6473
120	889	6464
121	896	6452
122	904	6449
123	909	6427
124	914	6401
125	921	6388
126	926	6371
127	931	6345
128	936	6321
129	941	6300
130	949	6299
131	953	6271
132	959	6255
133	966	6249
134	972	6231
135	979	6221
136	983	6196
137	988	6176
138	995	6163
139	1000	6147
140	1005	6124
141	1012	6118
142	1019	6108
143	1026	6100
144	1030	6078
145	1037	6071
146	1049	6089
147	1056	6081
148	1063	6071
149	1067	6050
150	1072	6032
151	1078	6017
152	1083	5996
153	1088	5977
154	1096	5976
155	1102	5965
156	1108	5953
157	1114	5940
158	1120	5924
159	1131	5942
160	1137	5929
161	1142	5910
162	1149	5901
163	1156	5895
164	1165	5899
165	1175	5904
166	1183	5902
167	1191	5901
168	1198	5892
169	1205	5883
170	1212	5875
171	1219	5870
172	1225	5857
173	1229	5836
174	1236	5831
175	1243	5820
176	1250	5814
177	1257	5805
178	1261	5786
179	1267	5774
180	1273	5764
181	1278	5747
182	1283	5728
183	1291	5726
184	1297	5716
185	1305	5711
186	1313	5708
187	1321	5706
188	1329	5705
189	1336	5698
190	1345	5699
191	1352	5692
192	1359	5682
193	1363	5662
194	1369	5651
195	1374	5639
196	1383	5640
197	1390	5634
198	1399	5635
199	1408	5632
200	1424	5664
201	1432	5658
202	1439	5650
203	1446	5642
204	1454	5639
205	1460	5627
206	1465	5615
207	1473	5609
208	1478	5597
209	1487	5597
210	1495	5593
211	1503	5589
212	1510	5581
213	1543	5670
214	1556	5684
215	1570	5700
216	1580	5702
217	1593	5715
218	1602	5713
219	1609	5706
220	1619	5707
221	1626	5701
222	1632	5688
223	1637	5673
224	1648	5677
225	1654	5665
226	1663	5663
227	1667	5645
228	1673	5634
229	1678	5620
230	1683	5603
231	1689	5593
232	1696	5586
233	1702	5572
234	1707	5558
235	1711	5541
236	1717	5527
237	1721	5511
238	1725	5494
239	1730	5480
240	1734	5463
241	1740	5452
242	1749	5448
243	1759	5450
244	1764	5438
245	1769	5424
246	1773	5407
247	1779	5396
248	1786	5388
249	1793	5381
250	1799	5370
251	1808	5366
252	1813	5355
253	1819	5345
254	1826	5336
255	1835	5333
256	1841	5324
257	1849	5319
258	1856	5312
259	1862	5301
260	1870	5297
261	1878	5290
262	1883	5277
263	1889	5268
264	1896	5260
265	1905	5256
266	1911	5248
267	1919	5242
268	1925	5231
269	1930	5218
270	1936	5208
271	1942	5198
272	1948	5188
273	1955	5180
274	1959	5166
275	1966	5159
276	1973	5151
277	1980	5142
278	1999	5166
279	2015	5181
280	2038	5216
281	2050	5221
282	2061	5221
283	2074	5228
284	2083	5227
285	2091	5221
286	2102	5223
287	2119	5240
288	2156	5306
289	2166	5303
290	2199	5358
291	2216	5374
292	2263	5461
293	2279	5473
294	2300	5497
295	2336	5556
296	2358	5583
297	2369	5582
298	2382	5586
299	2416	5638
300	2426	5635
301	2440	5640
302	2503	5758
303	2519	5768
304	2538	5783
305	2628	5961
306	2639	5958
307	2676	6013
308	2690	6016
309	2719	6052
310	2731	6051
311	2743	6049
312	2754	6044
313	2775	6063
314	2791	6070
315	2802	6066
316	2824	6086
317	2851	6114
318	2873	6133
319	2900	6162
320	2990	6325
321	3021	6361
322	3034	6360
323	3094	6457
324	3121	6483
325	3219	6656
326	3267	6724
327	3279	6719
328	3294	6720
329	3333	6768
330	3343	6758
331	3354	6749
332	3372	6754
333	3379	6739
334	3389	6728
335	3400	6720
336	3409	6708
337	3416	6692
338	3424	6676
339	3432	6662
340	3453	6673
341	3472	6680
342	3501	6707
343	3514	6702
344	3527	6696
345	3544	6698
346	3558	6696
347	3576	6701
348	3591	6698
349	3606	6696
350	3618	6691
351	3625	6674
352	3640	6672
353	3656	6673
354	3666	6662
355	3677	6653
356	3690	6647
357	3715	6662
358	3723	6649
359	3733	6637
360	3739	6619
361	3743	6598
362	3749	6580
363	3758	6567
364	3768	6555
365	3776	6541
366	3784	6527
367	3791	6511
368	3806	6509
369	3823	6510
370	3835	6502
371	3854	6506
372	3870	6505
373	3894	6518
374	3917	6529
375	3933	6528
376	3949	6526
377	3961	6518
378	3970	6505
379	3977	6490
380	3989	6482
381	4004	6478
382	4016	6470
383	4028	6462
384	4037	6449
385	4045	6435
386	4053	6420
387	4061	6406
388	4071	6395
389	4084	6388
390	4094	6376
391	4106	6369
392	4117	6360
393	4127	6348
394	4134	6332
395	4143	6319
396	4151	6305
397	4157	6288
398	4166	6275
399	4173	6259
400	4179	6243
401	4188	6229
402	4197	6218
403	4210	6211
404	4222	6203
405	4237	6199
406	4252	6196
407	4305	6246
408	4319	6241
409	4330	6231
410	4349	6233
411	4364	6229
412	4381	6226
413	4402	6231
414	4444	6265
415	4472	6278
416	4493	6282
417	4534	6314
418	4561	6325
419	4583	6330
420	4597	6323
421	4610	6314
422	4622	6305
423	4639	6303
424	4670	6318
425	4687	6315
426	4702	6310
427	4713	6298
428	4727	6292
429	4741	6285
430	4748	6268
431	4758	6256
432	4769	6245
433	4777	6230
434	4798	6232
435	4811	6223
436	4823	6214
437	4838	6207
438	4849	6197
439	4871	6200
440	4888	6196
441	4907	6195
442	4922	6188
443	4935	6180
444	4953	6177
445	4968	6171
446	4994	6178
447	5009	6172
448	5022	6163
449	5036	6155
450	5051	6149
451	5064	6140
452	5077	6131
453	5095	6128
454	5113	6125
455	5133	6124
456	5142	6110
457	5155	6100
458	5184	6110
459	5199	6103
460	5214	6096
461	5225	6084
462	5254	6094
463	5268	6086
464	5280	6075
465	5302	6076
466	5315	6067
467	5337	6066
468	5351	6058
469	5368	6054
470	5385	6048
471	5397	6037
472	5406	6023
473	5411	6005
474	5423	5993
475	5428	5976
476	5438	5962
477	5446	5948
478	5453	5931
479	5473	5930
480	5484	5917
481	5493	5904
482	5502	5889
483	5517	5882
484	5533	5876
485	5543	5862
486	5556	5853
487	5564	5838
488	5571	5821
489	5577	5804
490	5582	5787
491	5588	5770
492	5595	5754
493	5602	5739
494	5610	5723
495	5619	5709
496	5629	5697
497	5635	5680
498	5645	5668
499	5658	5658
500	5666	5643
501	5673	5627
502	5680	5612
503	5687	5597
504	5692	5580
505	5699	5564
506	5705	5547
507	5711	5531
508	5716	5514
509	5722	5498
510	5731	5484
511	5745	5476
512	5753	5462
513	5775	5461
514	5793	5455
515	5801	5442
516	5810	5428
517	5817	5412
518	5827	5400
519	5835	5386
520	5847	5376
521	5860	5366
522	5871	5355
523	5882	5343
524	5889	5328
525	5898	5315
526	5906	5301
527	5915	5287
528	5928	5278
529	5937	5265
530	5943	5249
531	5948	5232
532	5954	5217
533	5961	5202
