iter	Passed	Remaining
0	54	54437
1	60	30075
2	67	22399
3	71	17850
4	75	15106
5	83	13809
6	87	12380
7	93	11585
8	96	10674
9	98	9702
10	100	9012
11	103	8506
12	105	8029
13	107	7604
14	111	7318
15	113	7002
16	116	6711
17	119	6520
18	121	6287
19	123	6072
20	127	5925
21	129	5745
22	131	5606
23	134	5455
24	137	5363
25	138	5185
26	140	5068
27	142	4957
28	147	4937
29	149	4837
30	159	5000
31	166	5043
32	192	5640
33	199	5662
34	205	5679
35	211	5662
36	216	5638
37	223	5646
38	229	5649
39	235	5652
40	243	5702
41	247	5641
42	254	5664
43	258	5619
44	262	5571
45	268	5574
46	275	5585
47	289	5750
48	296	5756
49	304	5781
50	311	5805
51	316	5762
52	320	5729
53	324	5688
54	331	5690
55	337	5690
56	344	5703
57	351	5702
58	358	5719
59	362	5683
60	366	5638
61	372	5631
62	378	5626
63	384	5626
64	391	5634
65	396	5609
66	403	5614
67	408	5600
68	414	5597
69	421	5603
70	429	5619
71	432	5580
72	440	5591
73	444	5557
74	452	5583
75	458	5579
76	469	5630
77	473	5598
78	484	5651
79	488	5617
80	495	5620
81	509	5700
82	515	5696
83	527	5748
84	533	5745
85	540	5748
86	547	5744
87	558	5786
88	563	5766
89	569	5754
90	572	5721
91	579	5715
92	585	5709
93	589	5678
94	592	5642
95	595	5609
96	597	5566
97	600	5524
98	602	5485
99	606	5455
100	608	5414
101	610	5374
102	613	5339
103	616	5313
104	620	5291
105	622	5254
106	625	5216
107	626	5176
108	629	5146
109	633	5122
110	640	5127
111	646	5126
112	648	5092
113	650	5058
114	653	5031
115	657	5008
116	659	4980
117	661	4947
118	664	4916
119	666	4885
120	668	4857
121	671	4836
122	674	4810
123	688	4864
124	690	4835
125	692	4806
126	695	4782
127	698	4756
128	700	4727
129	705	4720
130	707	4692
131	709	4665
132	712	4641
133	714	4620
134	716	4594
135	719	4573
136	723	4559
137	725	4534
138	728	4510
139	731	4492
140	734	4473
141	736	4449
142	738	4425
143	740	4401
144	743	4381
145	746	4366
146	750	4352
147	755	4347
148	761	4347
149	783	4439
150	786	4424
151	793	4428
152	799	4427
153	806	4428
154	809	4414
155	811	4391
156	813	4369
157	815	4347
158	818	4328
159	820	4307
160	823	4293
161	827	4280
162	829	4261
163	832	4241
164	834	4220
165	836	4204
166	839	4187
167	842	4174
168	846	4160
169	880	4298
170	885	4291
171	892	4296
172	898	4294
173	902	4282
174	908	4282
175	914	4282
176	921	4285
177	927	4285
178	934	4284
179	940	4284
180	947	4285
181	979	4401
182	985	4401
183	992	4400
184	999	4404
185	1003	4390
186	1009	4390
187	1017	4393
188	1022	4385
189	1028	4383
190	1034	4382
191	1041	4381
192	1069	4474
193	1073	4461
194	1080	4459
195	1086	4456
196	1093	4458
197	1098	4450
198	1105	4451
199	1112	4450
200	1116	4437
201	1122	4435
202	1129	4433
203	1136	4434
204	1164	4515
205	1170	4512
206	1176	4508
207	1183	4506
208	1187	4494
209	1194	4493
210	1198	4482
211	1205	4481
212	1212	4480
213	1219	4478
214	1226	4477
215	1261	4578
216	1266	4569
217	1270	4556
218	1276	4553
219	1283	4548
220	1289	4546
221	1296	4543
222	1302	4539
223	1309	4535
224	1315	4530
225	1322	4529
226	1327	4520
227	1329	4502
228	1332	4485
229	1334	4467
230	1360	4527
231	1365	4521
232	1372	4519
233	1377	4509
234	1397	4550
235	1404	4546
236	1409	4537
237	1415	4533
238	1424	4535
239	1443	4571
240	1450	4568
241	1454	4555
242	1460	4551
243	1467	4546
244	1473	4541
245	1486	4555
246	1489	4541
247	1496	4536
248	1503	4536
249	1507	4523
250	1513	4516
251	1515	4499
252	1541	4552
253	1543	4534
254	1546	4517
255	1549	4502
256	1551	4486
257	1554	4469
258	1556	4452
259	1558	4437
260	1567	4439
261	1569	4421
262	1571	4405
263	1574	4389
264	1578	4378
265	1581	4363
266	1584	4350
267	1587	4335
268	1598	4343
269	1605	4341
270	1612	4337
271	1618	4331
272	1624	4325
273	1632	4324
274	1642	4330
275	1645	4315
276	1653	4315
277	1664	4322
278	1671	4319
279	1675	4307
280	1682	4303
281	1685	4290
