iter	Passed	Remaining
0	156	155878
1	157	78580
2	158	52839
3	159	39809
4	161	32098
5	162	26957
6	164	23328
7	166	20662
8	167	18495
9	169	16769
10	170	15362
11	172	14184
12	173	13144
13	173	12253
14	175	11525
15	177	10896
16	178	10332
17	180	9837
18	181	9384
19	183	8981
20	184	8622
21	187	8319
22	188	8022
23	190	7757
24	192	7495
25	193	7254
26	195	7034
27	196	6828
28	198	6645
29	200	6467
30	201	6283
31	201	6102
32	202	5945
33	203	5792
34	204	5641
35	206	5518
36	207	5393
37	208	5275
38	209	5169
39	211	5071
40	212	4977
41	214	4883
42	215	4797
43	217	4716
44	218	4634
45	219	4544
46	220	4471
47	221	4399
48	222	4318
49	223	4253
50	225	4190
51	226	4129
52	227	4073
53	229	4021
54	230	3968
55	232	3917
56	233	3867
57	235	3818
58	236	3766
59	237	3724
60	239	3685
61	240	3643
62	242	3606
63	243	3566
64	245	3528
65	246	3481
66	247	3445
67	248	3410
68	249	3367
69	250	3333
70	252	3301
71	253	3269
72	255	3238
73	256	3207
74	257	3177
75	258	3148
76	260	3120
77	261	3093
78	263	3066
79	264	3040
80	265	3015
81	267	2989
82	268	2966
83	269	2942
84	271	2919
85	272	2896
86	273	2873
87	275	2852
88	276	2831
89	278	2812
90	279	2788
91	280	2769
92	281	2750
93	282	2725
94	284	2706
95	285	2691
96	287	2677
97	288	2659
98	290	2642
99	291	2626
100	293	2610
101	294	2593
102	295	2577
103	296	2556
104	298	2540
105	299	2525
106	300	2510
107	302	2495
108	303	2480
109	304	2466
110	306	2451
111	307	2437
112	308	2420
113	309	2406
114	310	2390
115	312	2377
116	313	2365
117	314	2352
118	316	2339
119	317	2327
120	318	2315
121	320	2303
122	321	2291
123	323	2284
124	325	2275
125	326	2266
126	328	2255
127	329	2244
128	330	2232
129	332	2223
130	334	2217
131	335	2209
132	336	2194
133	338	2184
134	339	2174
135	340	2164
136	342	2155
137	343	2145
138	344	2136
139	346	2128
140	347	2118
141	349	2110
142	350	2100
143	352	2093
144	353	2085
145	354	2076
146	356	2067
147	357	2058
148	359	2051
149	361	2046
150	362	2040
151	364	2033
152	365	2024
153	367	2016
154	368	2009
155	370	2002
156	371	1994
157	372	1986
158	374	1979
159	375	1972
160	376	1963
161	378	1956
162	379	1949
163	381	1943
164	382	1937
165	384	1930
166	385	1924
167	387	1918
168	388	1912
169	390	1904
170	391	1898
171	393	1893
172	395	1888
173	396	1882
174	397	1875
175	399	1869
176	400	1862
177	401	1855
178	403	1849
179	404	1842
180	405	1836
181	407	1829
182	408	1823
183	409	1817
184	411	1810
185	412	1804
186	413	1798
187	415	1792
188	416	1786
189	417	1780
190	419	1776
191	420	1767
192	421	1762
193	422	1753
194	423	1748
195	424	1743
196	426	1737
197	427	1732
198	429	1727
199	430	1721
200	431	1716
201	433	1711
202	434	1706
203	436	1702
204	437	1697
205	439	1692
206	440	1687
207	441	1682
208	443	1677
209	444	1673
210	446	1668
211	447	1663
212	448	1658
213	450	1652
214	451	1647
215	452	1642
216	453	1638
217	455	1633
218	456	1628
219	458	1624
220	459	1619
221	460	1614
222	462	1610
223	463	1605
224	464	1601
225	465	1595
226	467	1590
227	468	1586
228	469	1581
229	471	1577
230	473	1574
231	474	1570
232	475	1566
233	477	1563
234	478	1558
235	480	1554
236	481	1550
237	483	1547
238	484	1543
239	485	1538
240	487	1535
241	488	1530
242	490	1526
243	491	1522
244	492	1517
245	493	1512
246	494	1508
247	496	1504
248	497	1500
249	498	1496
250	500	1492
251	501	1488
252	502	1484
253	504	1481
254	505	1477
255	507	1473
256	508	1469
257	509	1466
258	511	1463
259	512	1459
260	514	1455
261	515	1452
262	517	1449
263	518	1446
264	520	1444
265	522	1441
266	523	1437
267	525	1434
268	526	1430
269	527	1425
270	528	1420
271	529	1417
272	531	1414
273	532	1411
274	534	1408
275	535	1405
276	537	1402
277	538	1398
278	540	1395
279	541	1392
280	542	1388
281	544	1385
282	545	1382
283	546	1378
284	548	1375
285	549	1372
286	550	1368
287	552	1365
288	553	1361
289	554	1358
290	556	1355
291	557	1351
292	558	1348
293	560	1345
294	561	1342
295	563	1339
296	564	1336
297	565	1332
298	567	1329
299	568	1326
300	569	1322
301	571	1319
302	572	1316
303	574	1314
304	575	1311
305	576	1308
306	578	1305
307	579	1302
308	581	1299
309	582	1296
310	584	1293
311	585	1291
312	587	1288
313	588	1285
314	590	1283
315	591	1280
316	592	1277
317	594	1274
318	595	1270
319	596	1268
320	597	1264
321	599	1261
322	600	1258
323	601	1255
324	602	1252
325	604	1249
326	605	1246
327	607	1243
328	608	1240
329	609	1237
330	611	1235
331	612	1232
332	613	1229
333	614	1226
334	616	1223
335	617	1220
336	618	1217
337	620	1214
338	621	1212
339	623	1209
340	624	1206
341	625	1204
342	627	1201
343	628	1198
344	630	1196
345	631	1194
